# Time (hrs), BAC (% mg)
0.000000000000000000e+00,1.447100000000000080e+02
5.000000000000000000e-01,1.438300000000000125e+02
1.000000000000000000e+00,1.418199999999999932e+02
1.500000000000000000e+00,1.400399999999999920e+02
2.000000000000000000e+00,1.362500000000000000e+02
2.500000000000000000e+00,1.351599999999999966e+02
3.000000000000000000e+00,1.313700000000000045e+02
3.500000000000000000e+00,1.320600000000000023e+02
4.000000000000000000e+00,1.280099999999999909e+02
4.500000000000000000e+00,1.274500000000000028e+02
5.000000000000000000e+00,1.236700000000000017e+02
